"0","1","12(p0)","12(p1)","19(p0)","19(p1)","19(p2)","19(p3)","19(p4)","19(p5)","19(p6)","19(p7)","19(p8)","19(p9)","19(p10)","19(p11)","19(p12)","19(p13)","19(p14)","19(p15)","19(p16)","19(p17)","19(p18)","19(p19)","19(p20)","2","20(p0)","20(p1)","39","43","44","5(p0)","5(p1)","50","53(p0)","53(p1)","7","8","80","81","85","86","92","label(p0)","label(p1)"
-0.538564,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.9961947626841244,0.8660254037844386,-0.5,-0.9310344827586207,-0.928571,-0.9961942842610292,-1,1,-0.9924820000000001,1,-1,-0.9968057097374744,-0.999446,-0.9310344827586207,-0.9953610175832399,-0.931034,-0.9925590628089291,-0.9924820000000001,1,-1
-0.933184,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9888264649460883,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,-1,1,-0.9924820000000001,1,-1,-1,-1,-1,-1,-1,-1,-0.9924820000000001,1,-1
-0.866682,-0.8666140797472623,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
-0.9941960000000001,-0.9957636831931739,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.9624060000000001,-1,1,-0.9840255422965368,-0.996123,-1,-1,-1,-1,-0.9624060000000001,1,-1
-0.9702,-0.9737932953679799,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,-1,1,-0.917294,1,-1,-0.7731633018889905,0.34090299999999996,-1,-1,-1,-1,-0.917294,1,-1
0.4095599999999999,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.9959288052373159,0.8660254037844386,-0.5,-0.9310344827586207,-0.928571,-0.9959288630890988,1,-1,-0.9924820000000001,-1,1,-0.9968057097374744,-0.999446,-0.9310344827586207,-0.9950367876293802,-0.931034,-0.9920401112095519,-0.9924820000000001,1,-1
-0.2706740000000001,-0.27030243818450994,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
-0.9971760000000001,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.9924820000000001,1,-1,-0.9840255422965368,-0.997231,-1,-1,-1,-1,-0.9924820000000001,1,-1
-0.812414,-0.8123187528091126,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-0.9968057097374744,-0.999446,-1,-1,-1,-1,-0.9924820000000001,1,-1
-0.8444100000000001,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.9924820000000001,-1,1,-1,-0.999446,-1,-1,-1,-1,-0.9924820000000001,1,-1
0.07799,0.07854103331294593,-1,1,0,0.8357108940373452,-0.2954684201426395,-0.22886885410853175,-0.18687063686046268,-0.15793451382644763,-0.13677530110804836,-0.12062447740929094,-0.10788981249502494,-0.09759000729485334,-0.08908708063747484,-0.08194819531574027,-0.07586928636339918,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,-1,1,-1,1,-1,-0.9968057097374744,-0.999446,-1,-1,-1,-1,-1,1,-1
-0.8696619999999999,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,-1,1,-0.9924820000000001,1,-1,-0.9968057097374744,-0.999446,-1,-1,-1,-1,-0.9924820000000001,1,-1
0.11594799999999994,0.1165157295283894,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,-1,1,-0.977444,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
-0.49637200000000004,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.9429214402618659,0.8660254037844386,-0.5,-0.9310344827586207,-0.928571,-0.942921328357275,1,-1,-0.977444,1,-1,-0.9968057097374744,-0.998892,-0.9310344827586207,-0.9304152637485972,-0.931034,-0.8883997545339203,-0.977444,1,-1
-0.8161780000000001,-0.8160845901974111,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-0.9968057097374744,-0.999446,-1,-1,-1,-1,-1,1,-1
-0.9976480000000001,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,-1,1,-0.969924,1,-1,-1,-1,-1,-1,-1,-1,-0.969924,1,-1
-0.9967060000000001,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.969924,1,-1,-0.8690100481097693,-0.45499899999999993,-1,-1,-1,-1,-0.8872180000000001,1,-1
-0.9720819999999999,-0.9720675368200197,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.9924820000000001,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
-0.48602199999999995,-0.4857599894292284,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
-0.34894000000000003,-0.3486082317881922,-1,1,0,0,0,0,0,0,0,0,0,0,0,0.9833783437888832,-0.07586928636339918,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
-0.9967060000000001,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.9924820000000001,1,-1,-0.9968057097374744,-0.999446,-1,-1,-1,-1,-0.9924820000000001,1,-1
-0.8196300000000001,-0.8195381093334109,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.9864382160392798,-0.8660254037844386,-0.5,-0.8620689655172414,-0.857143,-0.9864382900821292,1,-1,-1,1,-1,-0.9936099162795312,-0.998892,-0.8620689655172414,-0.9834667664297294,-0.862069,-0.9734841384318191,-1,1,-1
-0.9513780000000001,-0.9513544301643374,-1,1,0,0.8357108940373452,-0.2954684201426395,-0.22886885410853175,-0.18687063686046268,-0.15793451382644763,-0.13677530110804836,-0.12062447740929094,-0.10788981249502494,-0.09759000729485334,-0.08908708063747484,-0.08194819531574027,-0.07586928636339918,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-0.9968057097374744,-0.999446,-1,-1,-1,-1,-1,1,-1
-0.99749,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0,1,-1,-1,-1,-1,1,-0.969924,1,-1,-1,-1,-1,-1,-1,-1,-0.969924,1,-1
-0.9907459999999999,-0.9924683252234026,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.9924820000000001,-1,1,-1,-0.998892,-1,-1,-1,-1,-0.9924820000000001,1,-1
-0.993098,-0.9930949637680796,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9888264649460883,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0,1,-1,-1,-1,-1,1,-0.902256,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
-0.60585,-0.6056501575105032,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0,1,-1,-1,-1,1,-1,-0.969924,1,-1,-0.9936099162795312,-0.998892,-1,-1,-1,-1,-1,1,-1
-0.9981180000000001,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.9079378068739772,0.8660254037844386,-0.5,-0.9310344827586207,-0.928571,-0.9079382123732689,1,-1,-0.9924820000000001,-1,1,-0.9968057097374744,-0.999446,-0.9310344827586207,-0.8877665544332212,-0.931034,-0.820000749815999,-0.9924820000000001,1,-1
-0.7374419999999999,-0.7373083171752015,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-0.9968057097374744,-0.997231,-1,-1,-1,-1,-1,1,-1
-0.9948239999999999,-0.9963903217378509,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.902256,-1,1,-1,-1,-1,-1,-1,-1,-0.902256,1,-1
-0.9792959999999999,-0.9816392904369552,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.9924820000000001,1,-1,-1,-1,-1,-1,-1,-1,-0.9924820000000001,1,-1
-0.807866,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.998496317512275,0.8660254037844386,-0.5,-0.9310344827586207,-0.928571,-0.998496283094387,1,-1,-0.9924820000000001,1,-1,-0.9968057097374744,-0.999446,-0.9310344827586207,-0.9981668537224093,-0.931034,-0.997059932003528,-0.9924820000000001,1,-1
-0.21421,-0.2138088712397933,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,-0.9968057097374744,-0.997231,-1,-1,-1,-1,-1,1,-1
-0.998588,-1,-1,1,0,0,0,0,0,0,0,0.964995819274328,-0.10788981249502494,-0.09759000729485334,-0.08908708063747484,-0.08194819531574027,-0.07586928636339918,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.989791325695581,0.8660254037844386,-0.5,-0.9310344827586207,-0.928571,-0.9897908723374623,1,-1,-0.9924820000000001,-1,1,-0.9968057097374744,-0.999446,-0.9310344827586207,-0.9875545579249283,-0.931034,-0.9800391088239531,-0.9924820000000001,1,-1
-0.9433800000000001,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9888264649460883,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,-1,1,-0.9849619999999999,1,-1,-1,-1,-1,-1,-1,-1,-0.9849619999999999,1,-1
-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,1,-1,-0.977444,1,-1,-1,-1,-1,-1,-1,-1,-0.977444,1,-1
-0.99702,-0.9984304005781892,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.8836947626841244,0.8660254037844386,-0.5,-0.8620689655172414,-0.928571,-0.9223607749894538,1,-1,-0.9849619999999999,-1,1,-0.9968057097374744,-0.999446,-0.8620689655172414,-0.858211747100636,-0.931034,-0.8481997509821604,-0.9849619999999999,1,-1
-0.9963919999999999,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.9842471358428806,0.8660254037844386,-0.5,-0.9310344827586207,-0.928571,-0.9842473039062327,1,-1,-0.9924820000000001,1,-1,-0.9968057097374744,-0.999446,-0.9310344827586207,-0.9807956104252401,-0.931034,-0.9692003212369596,-0.9924820000000001,1,-1
-0.9963919999999999,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962335082737974,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-0.9959288052373159,0.8660254037844386,-0.5,-0.9310344827586207,-0.928571,-0.9959288630890988,1,-1,-0.9924820000000001,1,-1,-0.9968057097374744,-0.999446,-0.9310344827586207,-0.9950367876293802,-0.931034,-0.9920401112095519,-0.9924820000000001,1,-1
-0.889424,-0.9924683252234026,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9888264649460883,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,-1,1,-0.9924820000000001,-1,1,-1,-1,-1,-1,-1,-1,-0.9924820000000001,1,-1
-0.834686,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,0.8660254037844386,-0.5,-1,-1,-1,-1,1,-0.947368,1,-1,-1,-1,-1,-1,-1,-1,-0.947368,1,-1
-0.8583700000000001,-0.8582976052597596,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9863007227241893,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-0.9968057097374744,-0.999446,-1,-1,-1,-1,-1,1,-1
-0.91154,-0.9114938121946263,-1,1,0,0.8357108940373452,-0.2954684201426395,-0.22886885410853175,-0.18687063686046268,-0.15793451382644763,-0.13677530110804836,-0.12062447740929094,-0.10788981249502494,-0.09759000729485334,-0.08908708063747484,-0.08194819531574027,-0.07586928636339918,-0.0706304617818635,-0.06606874726434098,-0.062060781627743755,-0.058511466046286875,-0.055346306015210955,-0.05250611612542333,-0.04994327848429292,-0.04761904761904767,-1,-0.8660254037844386,-0.5,-1,-1,-1,1,-1,-1,1,-1,-0.9936099162795312,-0.997231,-1,-1,-1,-1,-1,1,-1
